label,message
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
spam,Congratulations! You have won a $1000 Walmart gift card. Reply WIN to claim.
ham,"Hey, are we still meeting today?"
spam,Free entry into our weekly draw. Text YES to 80082 now!
ham,I'll call you later in the evening.
spam,Urgent! Your account has been suspended. Click link to verify.
ham,Can you send me the report by tonight?
spam,Win cash prizes instantly. Call 09061701461 now!
ham,Happy birthday! Have a great day 🎉
spam,You are selected for a free mobile recharge. Reply OK to claim.
ham,Let's catch up over coffee tomorrow.
